Component ID,Component Type,Component Age,Component Specifications,Maintenance Activity,Maintenance Duration,Temperature,Vibration,Pressure,Voltage,Failure Causes,Humidity,Failure History,Maintenance Cost,Rainfall,Mean Time to Repair
C189,Wheelset,8,,"['p1', 'c3']",3,39.3,0.5,1011,24,Overloading,57,"['F1', 'F2', 'F3', 'F4']",7204,0.2,7
C190,Pantograph,1,Copper,"['p2', 'c1']",6,28.9,0.5,1012,24,Wear and Tear,64,['F2'],9311,0.6,8
C191,Shaft,5,Stainless Steel,"['c1', 'p2']",5,30.6,0.2,1012,24,Overloading,64,"['F1', 'F2', 'F4']",8748,0.9,9
C192,Air Compressor,5,500 l,"['p3', 'p1', 'p2']",2,35,0.5,1010,24,Fatigue,56,"['F1', 'F2', 'F3', 'F4']",7865,0.7,9
C193,Filter,7,Air Filter,"['p3', 'p2']",6,39.1,0.3,1010,24,Overloading,66,"['F2', 'F3', 'F4']",6460,0.9,10
C194,Circuit Breaker,3,Thermal,['c3'],1,30.7,0.5,1017,24,Electrical Faults,58,"['F1', 'F3', 'F4']",9272,0.5,8
C195,Engine,1,Diesel Engine,['p2'],1,33.5,0.2,1020,24,Fatigue,57,['F3'],10395,0.5,1
C196,Signaling,5,24 V,"['p1', 'p3', 'c2']",4,29.4,0.5,1013,24,Fatigue,66,['F3'],5205,0.8,10
C197,Battery,2,,"['p3', 'c1', 'c3']",7,26.1,0.4,1015,24,Corrosion,57,"['F1', 'F3']",9291,0.4,7
C198,Coupling Rod,10,Carbon Steel,"['p1', 'c2', 'p3']",5,25.2,0.3,1019,24,Fatigue,66,['F1'],7054,0.3,4
C199,Doors,1,Aluminium,['c1'],7,39,0.4,1014,24,Corrosion,56,"['F1', 'F2', 'F3', 'F4']",9762,0.4,4
C200,Seal,4,Silicon,"['c1', 'c2']",8,37.3,0.4,1015,24,Overloading,60,"['F2', 'F4']",11105,0.9,2
C201,Coupling Rod,2,Stainless Steel,"['c2', 'p2']",4,37.6,0.3,1016,24,Overloading,65,['F3'],9258,0.6,8
C202,Coupling Rod,2,Stainless Steel,"['p1', 'c2']",8,31.6,0.3,1018,24,Wear and Tear,62,"['F1', 'F2']",9638,0.6,2
C203,Air Compressor,5,1000 l,"['p3', 'p1', 'c3']",6,35.9,0.3,1010,24,Overloading,61,['F1'],7675,0.8,8
C204,Switch,9,,"['c3', 'c2']",7,34.5,0.5,1016,24,Mechanical Faults,59,"['F1', 'F3']",10282,0.5,3
C205,Sensors,5,Vibration,['c3'],7,33.2,0.5,1010,24,Fatigue,62,"['F2', 'F3', 'F4']",8609,0.9,3
C206,Controller,8,48 V,"['c2', 'p1']",4,38.3,0.4,1020,24,Electrical Faults,60,"['F3', 'F4']",8551,0.8,3
C207,Pantograph,6,Copper,['c2'],7,39.5,0.2,1010,24,Wear and Tear,55,"['F1', 'F3']",10811,0.1,5
C208,Cooling Fan,10,1500 RPM,['p1'],2,35.3,0.1,1014,24,Mechanical Faults,56,"['F1', 'F2', 'F3', 'F4']",8281,0.9,7
C209,Battery,8,,"['c2', 'c1', 'c3']",7,25.3,0.2,1013,24,Electrical Faults,55,"['F2', 'F3', 'F4']",6435,0.5,3
C210,Throttle,8,Manual,"['c2', 'c3', 'p2']",5,32.2,0.1,1013,24,Mechanical Faults,64,"['F1', 'F2', 'F3']",7412,0.6,2
C211,Track,7,Standard Gauge,['c3'],4,24,0.3,1016,24,Corrosion,59,"['F1', 'F2', 'F3']",7623,0.8,4
C212,Chain,8,25.4 mm,['p1'],2,38.4,0.5,1015,24,Mechanical Faults,55,"['F1', 'F2', 'F3', 'F4']",8690,0.9,10
C213,Axle,4,0.5 m,"['p1', 'p2', 'c2']",4,26.3,0.1,1011,24,Electrical Faults,56,"['F1', 'F2', 'F3']",7175,0.2,1
C214,Engine,7,Diesel Engine,['p1'],4,27.9,0.3,1016,24,Electrical Faults,62,['F2'],11835,0.5,4
C215,Controller,6,24 V,['p1'],1,39.7,0.1,1016,24,Electrical Faults,62,"['F1', 'F3', 'F4']",6369,0.5,7
C216,Clutch,9,,"['p2', 'c3']",4,38.5,0.1,1014,24,Corrosion,56,"['F1', 'F2', 'F3', 'F4']",9750,0.4,5
C217,Clutch,3,Friction Clutch,"['p1', 'c2', 'c3']",6,35.8,0.4,1010,24,Overloading,62,"['F1', 'F2', 'F3', 'F4']",11198,0.4,1
C218,Wheelset,2,Iron,"['p3', 'c1', 'c3']",3,27,0.2,1018,24,Wear and Tear,59,"['F2', 'F4']",7556,0.7,4
C219,Coupling Rod,10,Alloy Steel,['p2'],1,36.3,0.3,1018,24,Corrosion,66,"['F1', 'F2', 'F3', 'F4']",7257,0.1,1
C220,Air Compressor,1,1000 l,"['p1', 'p2', 'c3']",1,32.7,0.4,1018,24,Fatigue,60,"['F1', 'F4']",5390,0.9,6
C221,Engine,8,Petrol Engine,"['c1', 'p3', 'c3']",2,34.1,0.1,1019,24,Mechanical Faults,57,"['F2', 'F4']",10489,0.9,1
C222,Transformer,10,3000 KVA,"['p2', 'p1']",6,29.4,0.4,1015,24,Lack of Lubrication,55,"['F1', 'F2', 'F3', 'F4']",7699,0.7,10
C223,Brake Pad,10,,"['p1', 'c3', 'c1']",4,30.7,0.4,1019,24,Electrical Faults,58,"['F1', 'F2', 'F3', 'F4']",5244,0.1,6
C224,Cooling Fan,10,1000 RPM,"['p3', 'c1', 'c3']",6,23.7,0.1,1012,24,Wear and Tear,59,"['F1', 'F2', 'F3', 'F4']",8423,0.4,1
C225,Inverter,3,200 V,['p2'],8,28.6,0.2,1020,24,Corrosion,58,"['F3', 'F4']",7467,0.1,2
C226,Axle,5,0.5 m,['p2'],6,29.2,0.5,1011,24,Wear and Tear,58,"['F1', 'F4']",6396,0.3,5
C227,Charger,2,100 V AC,['p1'],7,39.2,0.5,1015,24,Mechanical Faults,61,"['F1', 'F2', 'F4']",10308,0.4,10
C228,Bearings,4,Lubricated Bearings,"['c1', 'p3', 'c3']",6,24,0.1,1020,24,Wear and Tear,57,['F1'],8356,0.2,2
C229,Engine,10,4 Stroke,['c1'],7,31.4,0.4,1014,24,Mechanical Faults,59,"['F2', 'F3']",11861,0.5,6
C230,Roller,8,120 mm diameter,['p2'],1,34.3,0.3,1012,24,Electrical Faults,60,['F3'],8898,0.6,5
C231,Alternator,1,200 KVA,['c2'],4,29.5,0.5,1014,24,Corrosion,66,"['F1', 'F2', 'F3']",9657,0.2,6
C232,Fuse,4,,"['c1', 'c3']",2,29.1,0.5,1020,24,Corrosion,58,"['F1', 'F2', 'F3', 'F4']",11687,0.7,8
C233,Brake Pad,5,,['p1'],2,26.4,0.5,1010,24,Lack of Lubrication,60,"['F1', 'F2', 'F3', 'F4']",10639,0.4,3
C234,Brakes,8,Hydraulic Brakes,"['p1', 'p3']",2,32.7,0.5,1017,24,Lack of Lubrication,63,"['F2', 'F3']",8547,0.2,2
C235,Relay,4,Magnetic,"['p1', 'c1', 'c3']",1,31.8,0.3,1020,24,Lack of Lubrication,55,"['F1', 'F2', 'F3']",6064,0.6,1
C236,Heat Exchanger,2,Cooling capacity 5000 BTU,"['c1', 'p2']",8,37,0.2,1012,24,Overloading,55,"['F1', 'F2', 'F3', 'F4']",7482,0.4,3
C237,Insulator,6,Porcelain,"['c2', 'p1']",5,24.3,0.4,1016,24,Electrical Faults,59,"['F1', 'F2', 'F4']",9854,0.6,7
C238,Controller,4,24 V,['p1'],4,25.8,0.2,1020,24,Wear and Tear,57,['F4'],11052,0.7,3
C239,Signaling,3,48 V,"['c3', 'p2', 'c1']",1,29.8,0.2,1016,24,Overloading,56,['F3'],11581,0.5,10
C240,Signaling,1,48 V,['p2'],4,33,0.4,1016,24,Wear and Tear,64,"['F1', 'F2', 'F3']",10680,0.6,4
C241,Chain,2,25.4 mm,"['c2', 'c1', 'p3']",4,29.4,0.1,1018,24,Overloading,60,['F1'],6585,0.7,3
C242,Horn,8,200 db,"['p3', 'c1']",1,34.7,0.5,1015,24,Corrosion,59,"['F1', 'F2', 'F3', 'F4']",5339,0.5,3
C243,Panel,4,IP65,['p1'],8,26.4,0.2,1012,24,Wear and Tear,55,['F1'],9598,0.9,2
C244,Valve,5,Pressure Valve,"['c3', 'p3']",6,34.8,0.4,1019,24,Mechanical Faults,59,"['F3', 'F4']",11230,0.3,3
C245,Seal,2,Silicon,"['c3', 'p1']",2,24.1,0.4,1018,24,Lack of Lubrication,63,"['F1', 'F2', 'F3']",11996,0.3,10
C246,Panel,10,IP65,"['p3', 'c1', 'c3']",1,30.5,0.4,1012,24,Corrosion,64,['F3'],9804,0.2,7
C247,Coupler,5,Automatic,['p2'],3,27,0.2,1015,24,Mechanical Faults,65,"['F1', 'F2', 'F3', 'F4']",6526,0.4,8
C248,Circuit Breaker,4,Thermal,"['p3', 'p1']",5,35.1,0.4,1016,24,Corrosion,59,"['F2', 'F3', 'F4']",5704,0.2,9
C249,Relay,4,Electromagnetic,"['p2', 'p1', 'c2']",4,35.4,0.5,1012,24,Fatigue,64,['F1'],11266,0.2,6
C250,Pump,8,1000 l/m,['p3'],1,31.8,0.3,1012,24,Wear and Tear,61,['F3'],7758,0.2,1
C251,Coupler,5,Manual,"['c3', 'p2']",5,34.6,0.5,1015,24,Corrosion,66,"['F1', 'F2', 'F3']",9228,0.1,4
C252,Coupler,9,Manual,"['c3', 'p1', 'c1']",7,26.8,0.3,1014,24,Electrical Faults,56,['F4'],11632,0.4,8
C253,Bearings,3,Ball Bearings,"['c1', 'p1', 'c3']",5,29.5,0.5,1013,24,Electrical Faults,66,"['F1', 'F2']",6461,0.2,7
C254,Coupling Rod,3,Stainless Steel,['p1'],5,28.8,0.1,1020,24,Fatigue,62,"['F1', 'F3', 'F4']",10841,0.7,1
C255,Throttle,10,,"['p1', 'p3', 'c3']",1,36.3,0.1,1015,24,Lack of Lubrication,63,"['F1', 'F3', 'F4']",9753,0.5,1
C256,Resistor,7,50 ohms,['p2'],5,39.1,0.5,1015,24,Wear and Tear,60,"['F2', 'F3', 'F4']",9812,0.3,5
C257,Axle,10,1.5m,['p2'],3,31.7,0.3,1018,24,Overloading,61,"['F1', 'F2', 'F3', 'F4']",6800,0.1,7
C258,Doors,5,Aluminium,"['c3', 'c1', 'c2']",6,33.6,0.4,1011,24,Electrical Faults,57,"['F1', 'F2', 'F3', 'F4']",6338,0.4,9
C259,Controller,7,24 V,['p2'],8,34.8,0.5,1011,24,Mechanical Faults,55,"['F1', 'F3', 'F4']",9874,0.1,2
C260,Transformer,9,3000 KVA,"['c3', 'p2', 'c1']",5,38.4,0.4,1015,24,Corrosion,63,"['F1', 'F2', 'F3']",6715,0.4,8
C261,Coupling Rod,4,Stainless Steel,['c1'],7,24.7,0.3,1012,24,Corrosion,62,"['F1', 'F2']",10704,0.8,6
C262,Doors,1, Steel,"['p3', 'c3', 'c2']",3,36.5,0.4,1019,24,Wear and Tear,55,"['F1', 'F2', 'F3', 'F4']",9084,0.1,5
C263,Coupling Rod,4,Stainless Steel,"['p2', 'p1', 'c1']",6,38.6,0.3,1013,24,Fatigue,60,"['F1', 'F4']",7622,0.6,4
C264,Transducer,4,Pressure,['c3'],3,32.9,0.4,1015,24,Lack of Lubrication,65,"['F1', 'F4']",9402,0.2,5
C265,Bearings,3,Ball Bearings,['c2'],5,28,0.1,1010,24,Electrical Faults,64,"['F1', 'F2', 'F4']",6786,0.6,8
C266,Fuse,9,,['p1'],6,37.4,0.1,1018,24,Corrosion,57,"['F1', 'F3', 'F4']",6821,0.8,6
C267,Lighting,2,LED 5000 luminious flux,"['c3', 'p2']",4,37,0.5,1011,24,Fatigue,63,"['F2', 'F3', 'F4']",5722,0.6,2
C268,Bogie,8,200 tons,"['c3', 'p2']",7,30.9,0.4,1017,24,Mechanical Faults,65,"['F1', 'F3']",8063,0.6,4
C269,Fuse,2,100 A,['c2'],2,35.8,0.4,1011,24,Fatigue,62,['F3'],7509,0.3,5
C270,Brake Pad,7,,"['c2', 'p2', 'p3']",6,28.6,0.4,1012,24,Mechanical Faults,57,"['F1', 'F2', 'F3', 'F4']",5561,0.4,1
C271,Battery,2,,"['c3', 'p1']",2,30.8,0.5,1015,24,Wear and Tear,61,"['F1', 'F2', 'F3', 'F4']",10372,0.5,10
C272,Coupling Rod,8,Carbon Steel,"['c3', 'c2']",8,28.2,0.1,1011,24,Mechanical Faults,56,"['F1', 'F2', 'F3', 'F4']",5939,0.8,9
C273,Signaling,5,48 V,"['c1', 'c3']",4,37.2,0.1,1010,24,Overloading,58,"['F1', 'F2', 'F3', 'F4']",7689,0.6,5
C274,Brakes,10,Disc Brakes,['c3'],1,25.5,0.3,1011,24,Mechanical Faults,65,"['F2', 'F3']",6877,0.1,4
C275,Alternator,3,400 KVA,['p3'],1,39.8,0.4,1018,24,Lack of Lubrication,57,"['F2', 'F3', 'F4']",11075,0.2,5
C276,Resistor,8,10 ohms,"['p3', 'p2']",1,36.5,0.3,1020,24,Wear and Tear,66,"['F2', 'F4']",11983,0.6,3
C277,Component Type,3,,"['c1', 'p1', 'c2']",6,38.4,0.4,1013,24,Fatigue,61,"['F2', 'F4']",10273,0.6,4
C278,Doors,6,Iron,"['c3', 'p1', 'p3']",4,24.2,0.2,1018,24,Electrical Faults,65,"['F1', 'F2', 'F3', 'F4']",10102,0.5,2
C279,Belt,5,100 mm,"['c2', 'p3']",5,39.7,0.5,1018,24,Electrical Faults,61,"['F1', 'F2']",7970,0.1,10
C280,Component Type,9,,"['p2', 'c1', 'c2']",4,37.7,0.2,1020,24,Overloading,59,"['F1', 'F2', 'F3']",6502,0.3,6
C281,Chain,8,25.4 mm,['c1'],7,35.1,0.1,1018,24,Fatigue,65,"['F1', 'F2', 'F3', 'F4']",10506,0.1,9
C282,Valve,4,Solenoid Valve,"['p1', 'c2']",8,38.1,0.1,1017,24,Lack of Lubrication,59,['F3'],6449,0.4,4
C283,Brakes,2,Hydraulic Brakes,"['c3', 'c1']",3,38.5,0.3,1016,24,Fatigue,61,"['F1', 'F4']",11428,0.3,1
C284,Battery,8,,['c1'],1,23.5,0.5,1014,24,Electrical Faults,62,"['F3', 'F4']",10818,0.6,7
C285,Roller,9,100 mm diamter,"['c1', 'p3', 'c2']",2,29,0.1,1011,24,Overloading,65,"['F1', 'F2', 'F4']",10410,0.6,6
C286,Filter,6,,['p3'],1,29.1,0.1,1016,24,Wear and Tear,61,"['F1', 'F2']",9416,0.6,8
C287,Horn,5,120 db,"['c3', 'c2']",2,39.7,0.5,1010,24,Electrical Faults,58,"['F1', 'F3']",9464,0.9,5
C288,Brakes,9,Hydraulic Brakes,['c3'],5,36,0.4,1014,24,Overloading,64,"['F1', 'F2', 'F3', 'F4']",9371,0.9,4
C289,Capacitor,5,10000 µF,"['c1', 'p3']",1,28.8,0.5,1017,24,Electrical Faults,58,['F1'],7218,0.6,4
C290,Cooling Fan,7,1500 RPM,"['c3', 'p3', 'c1']",3,28.3,0.4,1014,24,Lack of Lubrication,57,['F3'],8000,0.3,8
C291,Coupler,5,Automatic,"['p3', 'c1', 'c2']",3,24.4,0.5,1019,24,Corrosion,65,['F1'],10084,0.2,8
C292,Inverter,3,200 V,['c1'],1,25.3,0.1,1017,24,Electrical Faults,55,"['F1', 'F2', 'F3', 'F4']",5905,0.8,10
C293,Air Compressor,5,2000 l,['c1'],3,33.7,0.1,1014,24,Wear and Tear,57,"['F1', 'F2', 'F3']",11403,0.6,6
C294,Controller,9,48 V,"['p2', 'c2']",3,35.7,0.3,1010,24,Wear and Tear,66,"['F1', 'F2']",9909,0.9,5
C295,Heat Exchanger,1,Cooling capacity 10000 BTU,"['c1', 'p3', 'c2']",5,26.1,0.4,1016,24,Electrical Faults,64,"['F1', 'F2', 'F3', 'F4']",11145,0.1,10
C296,Coupling Rod,5,Stainless Steel,"['c2', 'p1', 'p2']",4,33.7,0.3,1018,24,Mechanical Faults,61,"['F1', 'F2', 'F3', 'F4']",7796,0.6,6
C297,Valve,6,Solenoid Valve,"['p1', 'p3', 'c3']",6,28.8,0.2,1016,24,Fatigue,62,"['F1', 'F3', 'F4']",6556,0.9,6
C298,Capacitor,6,5000 µF,['p1'],4,34.4,0.1,1010,24,Lack of Lubrication,60,"['F1', 'F2', 'F3', 'F4']",6862,0.2,5
C299,Shaft,4,Alloy Steel,"['p1', 'p3', 'p2']",2,29.8,0.5,1014,24,Overloading,57,['F4'],11316,0.9,10
C300,Doors,6,Iron,['c1'],2,33.4,0.3,1016,24,Electrical Faults,66,"['F1', 'F3', 'F4']",5259,0.8,5
C301,Pantograph,8,Copper,"['p1', 'c1']",6,28.2,0.5,1010,24,Corrosion,62,['F1'],8279,0.2,8
C302,Brake Pad,6,,"['c2', 'c3', 'p3']",2,36.6,0.1,1015,24,Fatigue,62,['F1'],8531,0.7,10
C303,Component Type,1,,['c1'],6,29.6,0.2,1018,24,Mechanical Faults,63,['F3'],7362,0.6,6
C304,Controller,3,24 V,['p3'],7,28.8,0.1,1015,24,Corrosion,66,"['F3', 'F4']",7530,0.8,1
C305,Roller,5,100 mm diamter,"['p3', 'p2', 'c2']",7,30.1,0.1,1012,24,Corrosion,65,"['F1', 'F2', 'F3', 'F4']",11043,0.3,8
C306,Coupling Rod,6,Alloy Steel,"['p1', 'p2']",1,31.1,0.1,1013,24,Fatigue,66,['F2'],11206,0.8,6
C307,Belt,2,100 mm,['p3'],6,37.8,0.1,1019,24,Overloading,62,"['F1', 'F2', 'F3', 'F4']",8073,0.1,4
C308,Alternator,7,400 KVA,"['p2', 'c2', 'p3']",2,31,0.1,1012,24,Overloading,65,"['F1', 'F3']",7947,0.7,6
C309,Battery,1,48 V,"['p2', 'c2', 'p3']",7,26.8,0.3,1012,24,Lack of Lubrication,65,"['F1', 'F2', 'F3', 'F4']",10674,0.9,6
C310,Resistor,4,100 ohms,"['c2', 'p2', 'c3']",6,35,0.4,1010,24,Fatigue,60,"['F1', 'F2', 'F3', 'F4']",11396,0.8,3
C311,Cooling Fan,7,1000 RPM,"['c1', 'c3', 'c2']",3,24.4,0.3,1012,24,Mechanical Faults,60,"['F1', 'F3']",9193,0.1,5
C312,Heat Exchanger,9,Cooling capacity 6000 BTU,['c1'],7,24.1,0.4,1018,24,Corrosion,65,"['F1', 'F2', 'F3', 'F4']",7549,0.8,2
C313,Throttle,4,,['c2'],2,26.4,0.3,1013,24,Wear and Tear,55,"['F2', 'F3']",6622,0.9,4
C314,Wheels,2,Wrought Iron,"['p2', 'c2', 'c3']",7,34.1,0.2,1010,24,Corrosion,62,"['F1', 'F2', 'F4']",10222,0.9,6
C315,Horn,8,150 db,"['p3', 'c3']",5,25.9,0.2,1019,24,Overloading,60,"['F1', 'F2', 'F3', 'F4']",7653,0.3,1
C316,Coupler,2,Automatic,['c1'],2,28.3,0.1,1019,24,Fatigue,65,"['F1', 'F2', 'F3', 'F4']",9216,0.6,8
C317,Fuse,3,,['p3'],8,36.4,0.1,1018,24,Corrosion,66,"['F1', 'F2', 'F3', 'F4']",6113,0.3,5
C318,Converter,3,110 V,"['p1', 'c3']",3,28.6,0.5,1012,24,Fatigue,66,"['F1', 'F2', 'F3', 'F4']",5211,0.9,6
C319,Fuse,6,,"['c3', 'c1', 'p1']",8,27.3,0.4,1013,24,Electrical Faults,60,"['F2', 'F3', 'F4']",11130,0.6,10
C320,Coupler,6,Automatic,['c1'],3,32.7,0.1,1013,24,Lack of Lubrication,61,"['F2', 'F3']",5862,0.3,2
C321,Sensors,9,Vibration,"['c3', 'p1']",5,28.7,0.1,1010,24,Wear and Tear,66,['F2'],6374,0.1,6
C322,Track,3,Narrow Gauge,['c2'],4,30.7,0.3,1013,24,Fatigue,56,"['F1', 'F2', 'F4']",11780,0.1,8
C323,Clutch,8,,"['p3', 'c3', 'p1']",3,33.7,0.3,1013,24,Overloading,66,"['F1', 'F2', 'F4']",10527,0.2,1
C324,Roller,10,80 mm diameter,"['p2', 'c1', 'c3']",2,26.7,0.3,1011,24,Electrical Faults,57,['F3'],8913,0.6,2
C325,Brake Pad,10,Composite,"['c2', 'c1']",6,30.9,0.1,1018,24,Electrical Faults,63,"['F2', 'F3']",7694,0.4,5
C326,Track,6,Narrow Gauge,"['p3', 'c2']",3,35.7,0.2,1013,24,Corrosion,63,"['F1', 'F2', 'F3']",7603,0.4,8
C327,Air Compressor,7,500 l,"['c3', 'p2']",7,34.1,0.4,1018,24,Overloading,59,"['F1', 'F2', 'F3', 'F4']",9883,0.1,10
C328,Relay,9,Magnetic,"['c1', 'p3']",6,37.4,0.1,1010,24,Mechanical Faults,61,['F2'],7121,0.4,8
C329,Circuit Breaker,10,Thermal,"['c1', 'p2', 'c3']",8,36.9,0.4,1015,24,Wear and Tear,57,['F1'],5868,0.4,4
C330,Bogie,3,300 tons,"['p1', 'c3', 'p2']",3,30.5,0.3,1012,24,Wear and Tear,58,"['F1', 'F2', 'F3', 'F4']",6797,0.2,1
C331,Cooling Fan,1,1500 RPM,"['c3', 'c1', 'p2']",2,30.5,0.3,1020,24,Mechanical Faults,65,['F1'],7474,0.3,3
C332,Wheelset,9,Iron,"['c2', 'c3', 'p3']",8,27.2,0.2,1018,24,Lack of Lubrication,64,"['F1', 'F2', 'F4']",9237,0.2,9
C333,Signaling,6,24 V,"['c1', 'p1', 'c3']",4,26.7,0.3,1012,24,Electrical Faults,64,"['F1', 'F2']",8532,0.7,5
C334,Capacitor,2,1000 µF,"['p3', 'p2']",2,39.3,0.2,1018,24,Corrosion,64,"['F1', 'F2', 'F4']",6055,0.2,1
C335,Inverter,9,200 V,"['p3', 'c1', 'p1']",1,32.7,0.1,1010,24,Fatigue,62,"['F2', 'F3']",9162,0.8,10
C336,Brakes,1,Hydraulic Brakes,"['c3', 'p1']",6,36.9,0.5,1012,24,Wear and Tear,60,"['F1', 'F2', 'F3']",9568,0.8,5
C337,Wheels,2,Steel,"['p1', 'p3']",2,34.5,0.1,1012,24,Electrical Faults,55,['F2'],5983,0.8,1
C338,Relay,2,Magnetic,"['c2', 'c1', 'p1']",3,23.8,0.1,1016,24,Corrosion,63,"['F1', 'F4']",10125,0.1,10
C339,Heat Exchanger,1,Cooling capacity 5000 BTU,['p1'],3,26.9,0.5,1019,24,Overloading,59,"['F2', 'F3', 'F4']",9385,0.4,3
C340,Sensors,2,Temperature,"['c1', 'p2']",2,33.4,0.2,1018,24,Lack of Lubrication,56,['F2'],10058,0.1,6
C341,Wheels,3,Composite Iron,"['p2', 'c1']",5,36.7,0.5,1011,24,Fatigue,59,"['F2', 'F3']",10422,0.4,8
C342,Transformer,5,1000 KVA,['c3'],3,32.7,0.4,1015,24,Electrical Faults,58,"['F1', 'F3', 'F4']",5771,0.7,8
C343,Switch,7,Toggle,"['p1', 'c2']",7,31.2,0.2,1011,24,Electrical Faults,61,"['F1', 'F3']",9791,0.2,9
C344,Switch,8,,"['p2', 'c3', 'c1']",4,27.5,0.1,1013,24,Fatigue,61,"['F1', 'F2', 'F3']",5649,0.2,6
C345,Relay,9,Electrical,"['p3', 'c1']",7,35.5,0.4,1014,24,Overloading,57,"['F1', 'F2', 'F3', 'F4']",11816,0.5,7
C346,Converter,3,220 V,"['c1', 'p2', 'c3']",8,34.5,0.5,1013,24,Overloading,66,"['F1', 'F2', 'F3', 'F4']",10127,0.2,9
C347,Wheels,3,Wrought Iron,"['p1', 'c1', 'p2']",2,34.5,0.5,1014,24,Electrical Faults,66,['F4'],9947,0.4,8
C348,Insulator,2,Polystyrene,['c1'],5,26.8,0.5,1015,24,Electrical Faults,58,"['F1', 'F2', 'F3', 'F4']",11583,0.2,7
C349,Coupler,4,Manual,"['c1', 'c3']",4,29.8,0.2,1015,24,Fatigue,59,"['F1', 'F2', 'F3', 'F4']",7891,0.1,8
C350,Coupling Rod,4,Stainless Steel,"['p3', 'c3']",5,36.8,0.5,1011,24,Fatigue,58,"['F2', 'F4']",10327,0.5,1
C351,Component Type,6,,['c3'],5,29.7,0.5,1016,24,Mechanical Faults,66,"['F1', 'F4']",8094,0.6,5
C352,Wheels,2,Cast Iron,"['p3', 'c2', 'c3']",7,36.7,0.4,1018,24,Fatigue,65,"['F1', 'F3', 'F4']",7600,0.9,6
C353,Battery,6,,"['p2', 'p1']",8,26.6,0.2,1012,24,Wear and Tear,64,"['F1', 'F2', 'F3', 'F4']",7368,0.6,5
C354,Bearings,5,Ball Bearings,"['p2', 'c3', 'p1']",7,31.8,0.3,1016,24,Overloading,65,"['F1', 'F3', 'F4']",9633,0.4,9
C355,Cylinder,10,100 mm,"['p1', 'c2']",7,38.9,0.2,1016,24,Overloading,59,['F4'],5701,0.7,3
C356,Brakes,10,Hydraulic Brakes,"['c3', 'p1']",4,34,0.2,1013,24,Mechanical Faults,64,"['F3', 'F4']",8387,0.2,4
C357,Engine,10,Diesel Engine,['c1'],8,26.8,0.4,1018,24,Mechanical Faults,63,['F1'],9214,0.3,10
C358,Resistor,1,50 ohms,"['p2', 'c3', 'p1']",4,39.1,0.4,1010,24,Mechanical Faults,57,"['F1', 'F2']",7997,0.8,5
C359,Brake Pad,7,Composite,['p2'],7,28,0.1,1019,24,Fatigue,59,"['F2', 'F4']",5855,0.5,10
C360,Doors,10,Aluminium,['c2'],6,28.2,0.2,1020,24,Wear and Tear,55,"['F1', 'F2', 'F3', 'F4']",9215,0.6,7
C361,Wheelset,4,Steel,['c2'],5,25.2,0.3,1015,24,Corrosion,62,"['F1', 'F2', 'F3', 'F4']",6992,0.8,7
C362,Inverter,5,500 V,"['p1', 'c2', 'c3']",2,31,0.4,1011,24,Fatigue,65,"['F2', 'F4']",11157,0.1,6
C363,Gear,6,Stainless Steel,"['p2', 'p3']",7,39.7,0.2,1015,24,Fatigue,55,"['F1', 'F2', 'F3', 'F4']",11672,0.8,7
C364,Horn,7,120 db,['p2'],2,27.9,0.1,1011,24,Mechanical Faults,62,['F2'],8530,0.4,4
C365,Clutch,5,,"['p3', 'p1', 'c1']",8,28.9,0.4,1010,24,Lack of Lubrication,56,"['F1', 'F3', 'F4']",10566,0.1,9
C366,Shaft,2,Stainless Steel,"['p2', 'p1']",7,34,0.4,1014,24,Overloading,60,['F1'],9035,0.7,6
C367,Lighting,4,LED 5000 luminious flux,"['p1', 'c2', 'p2']",2,34.2,0.2,1011,24,Wear and Tear,55,"['F1', 'F3', 'F4']",11814,0.4,7
C368,Capacitor,6,10000 µF,"['p2', 'c2', 'c3']",1,35.9,0.3,1012,24,Wear and Tear,63,['F3'],5333,0.4,1
C369,Brake Pad,6,,"['c2', 'p3', 'c1']",3,34.7,0.4,1014,24,Corrosion,57,"['F3', 'F4']",8804,0.5,7
C370,Transducer,4,,"['p1', 'c3', 'p3']",7,27.9,0.2,1016,24,Fatigue,61,"['F1', 'F2', 'F3', 'F4']",10590,0.6,2
C371,Alternator,2,400 KVA,"['p2', 'p1']",7,29.3,0.5,1017,24,Electrical Faults,56,['F1'],7687,0.5,7
C372,Gasket,4,Sterlant,['c3'],2,39.8,0.5,1016,24,Wear and Tear,64,"['F1', 'F2', 'F3']",7665,0.6,9
C373,Pantograph,4,Aluminium,"['c3', 'c1']",2,24.9,0.4,1014,24,Corrosion,56,"['F1', 'F2', 'F3']",11402,0.6,8
C374,Insulator,4,Polystyrene,['p3'],1,34.5,0.3,1015,24,Wear and Tear,65,['F2'],9529,0.9,3
C375,Gasket,4,Rubber,['p3'],6,33.7,0.1,1018,24,Fatigue,57,"['F1', 'F2', 'F3', 'F4']",7642,0.2,5
C376,Fuse,8,100 A,['c2'],7,24,0.5,1014,24,Electrical Faults,62,"['F2', 'F4']",5278,0.2,7
C377,Throttle,8,,['c3'],1,24.1,0.3,1015,24,Mechanical Faults,58,"['F1', 'F3', 'F4']",6901,0.8,9
